,embedding1,embedding2
434,0.8697362,-2.096244
435,-29.517,-44.295082
436,-44.4951,4.0785627
437,-64.57186,33.03574
438,-42.24388,-62.444027
439,-82.88218,-6.6218452
440,11.737225,48.546955
441,65.87742,33.97973
442,26.772154,1.8032411
443,9.482342,80.638245
444,37.963127,-26.66928
445,54.257645,-29.25403
446,10.773548,-38.927643
447,48.560284,-25.87726
448,-29.095089,-66.77761
449,47.818523,29.284004
450,45.87129,13.881685
451,25.085806,-34.924473
452,29.552713,-57.863415
453,-21.151733,54.2865
454,13.594199,8.673997
455,66.26162,-46.058697
456,-18.562515,-0.5375375
457,34.379627,-9.919637
458,69.47756,27.775223
459,54.31202,-48.24349
460,-30.354292,-3.1224043
461,14.980473,-61.65603
462,-18.799498,-63.6302
463,21.368557,37.976223
464,74.151726,-18.748846
465,-10.533597,-72.92774
466,83.41276,-0.9775242
467,13.820154,22.2072
468,-12.287074,7.9589105
469,-16.301668,-5.692769
470,-15.107075,34.16719
471,13.590307,88.870255
472,51.781944,2.095421
473,-53.5431,-24.829044
474,54.21775,4.4416533
475,2.9042172,-3.8716264
476,-29.44088,-66.40186
477,14.695972,65.923615
478,-16.544306,-54.028698
479,14.50495,5.774924
480,9.57704,29.789074
481,28.224407,42.209198
482,-50.253204,55.48113
483,-19.63288,27.684788
484,-84.12029,6.7180195
485,1.9557124,8.413718
486,-2.3226078,15.936337
487,35.31269,-56.442787
488,-10.081786,23.597292
489,59.990726,19.365183
490,19.197517,-38.32122
491,-35.497375,-10.300025
492,1.9816886,63.92171
493,-21.512316,65.95313
494,-37.337154,-1.2244114
495,-40.574677,27.120623
496,4.966374,-7.067749
497,20.061771,-31.785286
498,-69.23649,38.829414
499,-1.2780479,-51.91999
500,6.8638015,13.195867
501,-19.540268,6.6898217
502,-3.8066735,46.930744
503,-69.0167,-40.64536
504,-48.77583,-46.819546
505,-51.96298,57.027893
506,-85.84109,9.563865
507,39.06995,27.526127
508,8.695439,-42.16073
509,50.384384,-3.1343756
510,28.577263,-49.541412
511,40.265083,25.837072
512,-32.817875,59.40622
513,-5.476195,-32.01785
514,82.97551,-25.24291
515,18.41304,3.3001504
516,35.76694,-74.195
517,-37.95809,-11.77545
518,-7.485994,64.21948
519,24.297762,35.634163
520,11.723997,-79.7226
521,42.171127,-28.44899
522,15.5562935,-20.151276
523,-12.233649,-82.57848
524,0.7306968,42.959343
525,22.371119,-9.89532
526,-54.089222,-42.695995
527,29.213947,55.224243
528,-16.038261,-77.51473
529,-27.844809,27.426098
530,-44.20768,-40.98978
531,-28.498743,-37.090286
532,-49.83065,-0.97855896
533,-47.558556,-53.55658
534,30.530996,-49.303104
535,85.54874,1.0923716
536,12.216898,19.822298
537,-58.686863,25.388838
538,-31.601934,-68.50771
539,-54.80173,-40.4502
540,7.468344,36.104324
541,-56.605816,12.07198
542,14.675191,74.41228
543,62.9184,-21.451574
544,20.839422,-12.786314
545,18.145365,-51.91332
546,-0.25081077,34.57049
547,-17.295267,18.295855
548,-10.893412,79.02236
549,73.544945,-29.061481
550,-17.07289,75.70752
551,15.021979,-28.501972
552,-4.80631,68.844185
553,43.874607,1.0147572
554,-37.79117,34.995804
555,-70.43133,47.839695
556,-40.70768,73.13405
557,-0.5857136,-59.42089
558,-22.477938,57.921066
559,-43.33,-5.828665
560,-49.241432,-8.147474
561,1.5667558,-9.797499
562,-43.705196,-17.263645
563,-40.157604,7.213447
564,-8.595369,-57.414707
565,-67.81832,-43.105743
566,-62.00596,22.84382
567,-46.525707,25.940819
568,4.4228444,20.800531
569,-67.74216,38.462986
570,-6.6445794,33.774754
571,52.10018,25.455395
572,-24.986233,-64.8851
573,-56.552666,-46.101856
574,51.96845,28.080341
575,-24.969654,-64.892395
576,-73.31458,-10.267345
577,-29.291637,-42.48056
578,7.3972044,28.684118
579,-32.053925,5.349921
580,-67.74744,6.0266137
581,-34.91855,-23.020395
582,-1.3705163,-34.505264
583,-21.080278,68.49722
584,31.674938,33.671383
585,71.99332,-18.25397
586,54.732563,32.955387
587,18.344954,-31.96479
588,48.883526,-9.99535
589,31.766775,15.18267
590,16.590942,-78.50975
591,65.148254,-54.46861
592,29.053862,47.31439
593,-31.652357,-51.456226
594,-48.802605,37.45413
595,-1.150383,25.580605
596,-49.7142,-1.03216
597,9.770573,-20.796146
598,-37.58587,28.889109
599,-14.012924,-53.468864
600,-13.129096,2.4219637
601,-71.45461,25.80969
602,-45.19923,-52.47132
603,-24.595438,51.268787
604,-31.309263,-30.384125
605,11.426928,-53.637127
606,49.02822,-43.673965
607,-44.153683,-25.751013
608,35.212547,8.924768
609,-24.376797,-4.045619
610,64.19923,20.63414
611,20.378191,-31.521873
612,60.778263,30.98781
613,53.933044,54.002743
614,33.533825,-46.266663
615,-63.355774,-52.54313
616,40.406075,25.931276
617,12.93727,-53.22661
618,-50.939514,38.452778
619,58.303276,-47.682392
620,-41.698673,-29.071764
621,-39.856415,-53.85327
622,31.740963,65.08322
623,-36.001118,-20.19531
624,28.929892,6.703848
625,41.460037,-40.23754
626,-14.286206,66.41947
627,53.64246,-62.52079
628,2.8126214,80.26603
629,0.2876797,-35.292774
630,1.9757745,63.919827
631,1.5818805,36.914665
632,76.46491,40.290913
633,-35.282917,48.69837
634,3.6125576,38.72803
635,-10.426324,47.014492
636,-39.44008,-43.622036
637,-65.17705,-3.2109997
